filename,cmodels,pid,parent,sequence,Identifier,Child,Directory,FileName,FileCount,SpecialType,Title,Parent Item Title,Identifier (Item Number),Photographer,Date Created,Subject - Topic,Subject - Geographic,Subject - Temporal,Subject - Name [personal],Subject - Name [corporate],Subject - Name [family],Abstract (Description),Biographical Information,Note,Type of Resource,Internet Media Type,Form,Medium,Extent,Source,Digital Collection,Relation,Repository Collection,Repository Collection Guide,Arrangement (Record Group),Arrangement (Series),Arrangement (Subseries),Arrangement (Box),Arrangement (Folder),Location (Physical Location),Location (Institution Web Site),Location (OCLC Member Symbol),Location (Sublocation),Location (Shelving Location),Rights,Contact Information,Preferred Citation,Digitization Date,Digitized By,Digital Reproduction Information,Record Creation Date,Cataloged By
,,,,,292_01,1,A5000B018AF003P011,A5000B018AF003P011_001.jp2,,,Front,Student Recreational Sports Complex ,A5000B018AF003P011_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/11/2019,en
,,,,,292_02,2,A5000B018AF003P011,A5000B018AF003P011_002.jp2,,,Back,Student Recreational Sports Complex ,A5000B018AF003P011_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/11/2019,en
,,,,,293,,A5000B018AF004P001,,2,,Drafting class,,A5000B018AF004P001,,1928,Mechanical drawing--Study and teaching (Higher)--Louisiana--Baton Rouge--Photographs; Classrooms--Louisiana--Baton Rouge--Photographs; Classes (Groups of students)--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen twenties,,Louisiana State University and Agricultural and Mechanical College--Students--Photographs,,,,Handwritten on back: Drafting class-1928.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/11/2019,en
,,,,,293_01,1,A5000B018AF004P001,A5000B018AF004P001_001.jp2,,,Front,Drafting class,A5000B018AF004P001_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/11/2019,en
,,,,,293_02,2,A5000B018AF004P001,A5000B018AF004P001_002.jp2,,,Back,Drafting class,A5000B018AF004P001_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/11/2019,en
,,,,,294,,A5000B018AF004P002,,2,,Integrated classroom ,,A5000B018AF004P002,,Circa 1970-1980,Classes (Groups of students)--Louisiana--Baton Rouge--Photographs; Classrooms--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen seventies,,"Louisiana State University (Baton Rouge, La.)--Students--Photographs",,,,Handwritten on back: Integrated classroom.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/19/2019,en
,,,,,294_01,1,A5000B018AF004P002,A5000B018AF004P002_001.jp2,,,Front,Integrated classroom ,A5000B018AF004P002_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/19/2019,en
,,,,,294_02,2,A5000B018AF004P002,A5000B018AF004P002_002.jp2,,,Back,Integrated classroom ,A5000B018AF004P002_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/19/2019,en
,,,,,295,,A5000B018AF004P003,,2,,Laboratory ,,A5000B018AF004P003,,Circa 1970-1980,College students--Louisiana--Baton Rouge--Photographs; College teachers--Louisiana--Baton Rouge--Photographs; Laboratories--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen seventies,,"Louisiana State University (Baton Rouge, La.)--Students--Photographs; Louisiana State University (Baton Rouge, La.)--Faculty--Photographs",,Students and teachers work around a large metal cylinder in a laboratory.,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/21/2019,en
,,,,,295_01,1,A5000B018AF004P003,A5000B018AF004P003_001.jp2,,,Front,Laboratory ,A5000B018AF004P003_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/21/2019,en
,,,,,295_02,2,A5000B018AF004P003,A5000B018AF004P003_002.jp2,,,Back,Laboratory ,A5000B018AF004P003_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/21/2019,en
,,,,,296,,A5000B018AF004P004,,2,,Students in the law library,,A5000B018AF004P004,,Circa 1980-1990,Women law students--Louisiana--Baton Rouge--Photographs; Law libraries--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen eighties,,"Paul M. Hebert Law Center. Law Library--Photographs; Louisiana State University (Baton Rouge, La.). Law Library--Photographs; Paul M. Hebert Law Center--Students--Photographs; Louisiana State University (Baton Rouge, La.)--Students--Photographs",,,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/21/2019,en
,,,,,296_01,1,A5000B018AF004P004,A5000B018AF004P004_001.jp2,,,Front,Students in the law library,A5000B018AF004P004_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/21/2019,en
,,,,,296_02,2,A5000B018AF004P004,A5000B018AF004P004_002.jp2,,,Back,Students in the law library,A5000B018AF004P004_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/21/2019,en
,,,,,297,,A5000B018AF004P005,,2,,Law library,,A5000B018AF004P005,,Circa 1970-1990,Law libraries--Louisiana--Baton Rouge--Photographs; Library users--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Twentieth century,,"Paul M. Hebert Law Center. Law Library--Photographs; Louisiana State University (Baton Rouge, La.). Law Library--Photographs",,A man reads on the second floor of the LSU Law Library. The library's spiral staircase is visible in the background.,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/21/2019,en
,,,,,297_01,1,A5000B018AF004P005,A5000B018AF004P005_001.jp2,,,Front,Law library,A5000B018AF004P005_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/21/2019,en
,,,,,297_02,2,A5000B018AF004P005,A5000B018AF004P005_002.jp2,,,Back,Law library,A5000B018AF004P005_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/21/2019,en
,,,,,298,,A5000B018AF004P006,,2,,Quintet performance,,A5000B018AF004P006,,Circa 1970-1980,Musical groups--Performances--Louisiana--Baton Rouge--Photographs; Music students--Louisiana--Baton Rouge--Photographs; College students--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen seventies,,"Louisiana State University (Baton Rouge, La.)--Students--Photographs",,,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,298_01,1,A5000B018AF004P006,A5000B018AF004P006_001.jp2,,,Front,Quintet performance,A5000B018AF004P006_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,298_02,2,A5000B018AF004P006,A5000B018AF004P006_002.jp2,,,Back,Quintet performance,A5000B018AF004P006_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,299,,A5000B018AF004P007,,2,,Checkout lines at the LSU bookstore,,A5000B018AF004P007,,Circa 1987,College stores--Louisiana--Baton Rouge--Photographs; College students--Louisiana--Baton Rouge--Photographs; Bookstores--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen eighties,,"Louisiana State University (Baton Rouge, La.)--Students--Photographs",,,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,299_01,1,A5000B018AF004P007,A5000B018AF004P007_001.jp2,,,Front,Checkout lines at the LSU bookstore,A5000B018AF004P007_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,299_02,2,A5000B018AF004P007,A5000B018AF004P007_002.jp2,,,Back,Checkout lines at the LSU bookstore,A5000B018AF004P007_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,300,,A5000B018AF004P008,,2,,Cadets on the Parade Ground ,,A5000B018AF004P008,,1954,Military cadets--Louisiana--Baton Rouge--Photographs; Male college students--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen fifties,,Louisiana State University and Agricultural and Mechanical College. Corps of Cadets--Photographs,,,,Handwritten on back: Cadets 1954,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,300_01,1,A5000B018AF004P008,A5000B018AF004P008_001.jp2,,,Front,Cadets on Parade Ground ,A5000B018AF004P008_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,300_02,2,A5000B018AF004P008,A5000B018AF004P008_002.jp2,,,Back,Cadets on Parade Ground ,A5000B018AF004P008_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,301,,A5000B018AF004P009,,2,,Students in dorm room,,A5000B018AF004P009,,1929,Dormitories--Louisiana--Baton Rouge--Photographs; Dormitory life--Louisiana--Baton Rouge--Photographs; Male college students--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen twenties,,Louisiana State University and Agricultural and Mechanical College--Students--Photographs,,Four male students relax in a dorm room.,,"Handwritten on back: Dorm, 1929",still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,301_01,1,A5000B018AF004P009,A5000B018AF004P009_001.jp2,,,Front,Students in dorm room,A5000B018AF004P009_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,301_02,2,A5000B018AF004P009,A5000B018AF004P009_002.jp2,,,Back,Students in dorm room,A5000B018AF004P009_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,302,,A5000B018AF004P010,,2,,Fraternity members watching baseball game on television,,A5000B018AF004P010,,Circa 1980-1990,College fraternity members--Louisiana--Baton Rouge--Photographs; Greek letter societies--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen eighties,,"Louisiana State University (Baton Rouge, La.)--Students--Photographs",,Fraternity members watch a baseball game on a television set up outdoors.,,Handwritten on back: Frats watching baseball.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,302_01,1,A5000B018AF004P010,A5000B018AF004P010_001.jp2,,,Front,Fraternity members watching baseball game on television,A5000B018AF004P010_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,302_02,2,A5000B018AF004P010,A5000B018AF004P010_002.jp2,,,Back,Fraternity members watching baseball game on television,A5000B018AF004P010_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,303,,A5000B018AF004P011,,2,,Fraternity members watching baseball game on television,,A5000B018AF004P011,,Circa 1980-1990,College fraternity members--Louisiana--Baton Rouge--Photographs; Greek letter societies--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen eighties,,"Louisiana State University (Baton Rouge, La.)--Students--Photographs",,Fraternity members watch a baseball game on a television set up outdoors.,,Handwritten on back: Frats watching baseball.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,303_01,1,A5000B018AF004P011,A5000B018AF004P011_001.jp2,,,Front,Fraternity members watching baseball game on television,A5000B018AF004P011_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,303_02,2,A5000B018AF004P011,A5000B018AF004P011_002.jp2,,,Back,Fraternity members watching baseball game on television,A5000B018AF004P011_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,304,,A5000B018AF004P012,,2,,Acacia Fraternity House decorated for homecoming,,A5000B018AF004P012,,Circa 1970-1980,College fraternity members--Dwellings--Louisiana--Baton Rouge--Photographs; Greek letter societies--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen seventies,,"Acacia Fraternity. Louisiana State University Chapter—Photographs; Acacia Fraternity House (Baton Rouge, La.)",,,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,304_01,1,A5000B018AF004P012,A5000B018AF004P012_001.jp2,,,Front,Acacia Fraternity House decorated for homecoming,A5000B018AF004P012_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,304_02,2,A5000B018AF004P012,A5000B018AF004P012_002.jp2,,,Back,Acacia Fraternity House decorated for homecoming,A5000B018AF004P012_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,305,,A5000B018AF004P013,,2,,Huey P. Long Field House pool ,,A5000B018AF004P013,,Circa 1930-1950,Swimming pools--Louisiana--Baton Rouge--Photographs; Swimmers--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Twentieth century,,"Huey P. Long Field House (Baton Rouge, La.)--Photographs",,,,,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,305_01,1,A5000B018AF004P013,A5000B018AF004P013_001.jp2,,,Front,Huey P. Long Field House pool ,A5000B018AF004P013_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,305_02,2,A5000B018AF004P013,A5000B018AF004P013_002.jp2,,,Back,Huey P. Long Field House pool ,A5000B018AF004P013_002,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
,,,,,306,,A5000B018AF004P014,,2,,Students moving out of dorms,,A5000B018AF004P014,,Circa 1980,Women college students--Louisiana--Baton Rouge--Photographs; Dormitory life--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Nineteen eighties,,"Louisiana State University (Baton Rouge, La.)--Students--Photographs",,Students and their families stand outside their dormitories next to their packed belongings.,,Handwritten on back: Packing.,still image,jp2,photographs,,,LSU Libraries. Special Collections,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,https://www.lib.lsu.edu/sites/default/files/ua/findingaids/a5000_lsuphotocollection.pdf,A5000,,,Box 18A,Folder 4,LSU Libraries,http://lib.lsu.edu,LUU,Hill Memorial Library: Special Collections,"AA:31, Box 18A, Folder 4","Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,"Louisiana State University Photograph Collection, A5000, Louisiana State University Archives, LSU Libraries, Baton Rouge, La.",8/8/2018,EC,Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000,3/22/2019,en
,,,,,306_01,1,A5000B018AF004P014,A5000B018AF004P014_001.jp2,,,Front,Students moving out of dorms,A5000B018AF004P014_001,,,,,,,,,,,,still image,jp2,,,,,LSU Photograph Collection,http://louisianadigitallibrary.org/islandora/object/lsu-ua-uap:collection,,,,,,,,,,,,,,,,,,,3/22/2019,en
